Область,Тергромада,Програма-проєкт МТД,Тематика,Кількість
Житомирська,Курненська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Житомирська,Хорошівська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Закарпатська,Ужгородська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Київська,Васильківська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Кіровоградська,Новоукраїнська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Куяльницька,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Пришибська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Полтавська,Опішнянська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Присиваська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Херсонська,Великокопанівська,"Проєкт Ради Європи ""Молодь за демократію в Україні""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1